START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Year,Month,Day,Hour,Weekday
01-01-2016 21:11,01-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016,1,1,21,Friday
02-01-2016 20:25,02-01-2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016,1,2,20,Saturday
05-01-2016 17:31,05-01-2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016,1,5,17,Tuesday
06-01-2016 14:42,06-01-2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016,1,6,14,Wednesday
06-01-2016 17:15,06-01-2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016,1,6,17,Wednesday
06-01-2016 17:30,06-01-2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,2016,1,6,17,Wednesday
07-01-2016 13:27,07-01-2016 13:33,Business,Cary,Cary,0.8,Meeting,2016,1,7,13,Thursday
10-01-2016 08:05,10-01-2016 08:25,Business,Cary,Morrisville,8.3,Meeting,2016,1,10,8,Sunday
10-01-2016 12:17,10-01-2016 12:44,Business,Jamaica,New York,16.5,Customer Visit,2016,1,10,12,Sunday
10-01-2016 15:08,10-01-2016 15:51,Business,New York,Queens,10.8,Meeting,2016,1,10,15,Sunday
10-01-2016 18:18,10-01-2016 18:53,Business,Elmhurst,New York,7.5,Meeting,2016,1,10,18,Sunday
10-01-2016 19:12,10-01-2016 19:32,Business,Midtown,East Harlem,6.2,Meeting,2016,1,10,19,Sunday
11-01-2016 08:55,11-01-2016 09:21,Business,East Harlem,NoMad,6.4,Temporary Site,2016,1,11,8,Monday
11-01-2016 11:56,11-01-2016 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016,1,11,11,Monday
11-01-2016 13:32,11-01-2016 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain,2016,1,11,13,Monday
11-01-2016 14:30,11-01-2016 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain,2016,1,11,14,Monday
12-01-2016 12:33,12-01-2016 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016,1,12,12,Tuesday
