date,trips,total_miles,avg_miles,reimbursement
01-01-2016,1,5.1,5.1,3.34
02-01-2016,3,46.6,15.53,30.52
03-01-2016,2,16,8,10.48
04-01-2016,3,46.8,15.6,30.65
05-01-2016,4,18.9,4.72,12.38
06-01-2016,2,16.3,8.15,10.68
07-01-2016,5,54.9,10.98,35.96
11-01-2016,1,4.2,4.2,2.75
12-01-2016,4,16.8,4.2,11
01-02-2016,1,4.8,4.8,3.14
02-02-2016,3,15.9,5.3,10.41
04-02-2016,4,476,119,311.78
05-02-2016,2,6.1,3.05,4
07-02-2016,2,20,10,13.1
08-02-2016,1,8.4,8.4,5.5
11-02-2016,1,8.5,8.5,5.57
12-02-2016,4,16.7,4.18,10.94
03-03-2016,4,32.4,8.1,21.22
04-03-2016,1,159.3,159.3,104.34
05-03-2016,1,2.5,2.5,1.64
06-03-2016,7,38.4,5.49,25.15
07-03-2016,3,16.1,5.37,10.55
11-03-2016,2,6.2,3.1,4.06
12-03-2016,2,9.6,4.8,6.29
02-04-2016,7,35.9,5.13,23.51
03-04-2016,10,79.9,7.99,52.33
05-04-2016,4,32.7,8.18,21.42
07-04-2016,4,39.2,9.8,25.68
11-04-2016,1,7.9,7.9,5.17
12-04-2016,2,6.3,3.15,4.13
01-05-2016,1,4.7,4.7,3.08
02-05-2016,2,20.8,10.4,13.62
03-05-2016,4,26,6.5,17.03
04-05-2016,1,7.9,7.9,5.17
05-05-2016,3,30,10,19.65
06-05-2016,6,41.7,6.95,27.31
07-05-2016,3,11.7,3.9,7.66
12-05-2016,1,3.8,3.8,2.49
01-06-2016,3,75.1,25.03,49.19
02-06-2016,3,23.6,7.87,15.46
04-06-2016,1,8,8,5.24
05-06-2016,3,39.3,13.1,25.74
06-06-2016,6,38.6,6.43,25.28
07-06-2016,4,22.6,5.65,14.8
11-06-2016,2,46.7,23.35,30.59
01-07-2016,1,0.8,0.8,0.52
02-07-2016,4,23.5,5.88,15.39
03-07-2016,5,42.4,8.48,27.77
04-07-2016,2,12.2,6.1,7.99
06-07-2016,2,20.3,10.15,13.3
07-07-2016,1,7.9,7.9,5.17
08-07-2016,2,5.2,2.6,3.41
11-07-2016,2,25,12.5,16.38
12-07-2016,4,24.5,6.12,16.05
02-08-2016,2,7,3.5,4.58
03-08-2016,2,14.8,7.4,9.69
04-08-2016,5,58.7,11.74,38.45
06-08-2016,8,43.7,5.46,28.62
08-08-2016,2,5.9,2.95,3.86
11-08-2016,2,23.5,11.75,15.39
12-08-2016,4,10.8,2.7,7.07
02-09-2016,1,6.1,6.1,4
05-09-2016,4,56.3,14.08,36.88
10-09-2016,1,7.7,7.7,5.04
11-09-2016,2,18.2,9.1,11.92
12-09-2016,4,38.4,9.6,25.15
01-10-2016,5,49.3,9.86,32.29
03-10-2016,2,21.2,10.6,13.89
05-10-2016,2,17.2,8.6,11.27
06-10-2016,3,36.6,12.2,23.97
11-10-2016,3,28.5,9.5,18.67
12-10-2016,4,37.3,9.32,24.43
01-11-2016,4,11.6,2.9,7.6
02-11-2016,4,42.6,10.65,27.9
03-11-2016,1,2,2,1.31
05-11-2016,2,33.7,16.85,22.07
06-11-2016,4,28.6,7.15,18.73
10-11-2016,1,17.1,17.1,11.2
11-11-2016,2,82.5,41.25,54.04
12-11-2016,3,9.9,3.3,6.48
01-12-2016,6,27.2,4.53,17.82
02-12-2016,6,66,11,43.23
04-12-2016,5,41.6,8.32,27.25
06-12-2016,3,9.6,3.2,6.29
11-12-2016,2,9.6,4.8,6.29
12-12-2016,5,18.2,3.64,11.92
